month;year;precipitation;atmospheric_demand
9;1941;106.8000031;98.99999857
10;1941;16.5;60
11;1941;77.70000458;30
12;1941;22;20.99999964
1;1942;23.10000038;24.00000036
2;1942;26.80000114;39.00000215
3;1942;67.40000153;66.00000143
4;1942;230.5;87.00000286
5;1942;23.20000076;120
6;1942;53.10000229;156.0000086
7;1942;5;167.9999971
8;1942;109.0999985;147.0000029
9;1942;61.40000153;102.0000029
10;1942;106.4000015;66.00000143
11;1942;62;33.00000072
12;1942;50.79999924;24.00000036
1;1943;37;24.00000036
2;1943;16.5;45
3;1943;95.09999847;68.99999857
4;1943;44.40000153;96.00000143
5;1943;53.10000229;126.0000086
6;1943;59.79999924;152.9999971
7;1943;116.5999985;167.9999971
8;1943;94.09999847;150
9;1943;101.9000015;96.00000143
10;1943;89.70000458;56.99999928
11;1943;57.10000229;30
12;1943;143.6000061;20.99999964
1;1944;0.400000006;27.00000107
2;1944;93.59999847;39.00000215
3;1944;7.400000095;68.99999857
4;1944;32.70000076;93.00000429
5;1944;122.5;126.0000086
6;1944;64.59999847;144.0000057
7;1944;16.10000038;167.9999971
8;1944;109.4000015;152.9999971
9;1944;83.70000458;98.99999857
10;1944;26;54.00000215
11;1944;44.20000076;33.00000072
12;1944;53.70000076;20.99999964
1;1945;102.8000031;24.00000036
2;1945;3;48.00000072
3;1945;61.5;75
4;1945;8.400000572;108.0000043
5;1945;60;126.0000086
6;1945;49.70000076;152.9999971
7;1945;42.70000076;180
8;1945;105.7000046;147.0000029
9;1945;50.10000229;105
10;1945;19;68.99999857
11;1945;172.6999969;33.00000072
12;1945;118.9000015;24.00000036
1;1946;89.20000458;24.00000036
2;1946;3.900000095;41.99999928
3;1946;50.60000229;66.00000143
4;1946;178.1000061;90
5;1946;175.9000092;105
6;1946;55.10000229;147.0000029
7;1946;10.90000057;174.0000057
8;1946;96.40000153;150
9;1946;66.80000305;108.0000043
10;1946;48;66.00000143
11;1946;27.5;33.00000072
12;1946;37.60000229;24.00000036
1;1947;48.40000153;24.00000036
2;1947;136.3000031;41.99999928
3;1947;102.4000015;68.99999857
4;1947;13.10000038;105
5;1947;99.40000153;120
6;1947;21;159.0000057
7;1947;66.5;177.0000029
8;1947;68.5;152.9999971
9;1947;61;102.0000029
10;1947;78.09999847;63.00000429
11;1947;31.60000038;36.00000143
12;1947;60.40000153;24.00000036
1;1948;94.30000305;24.00000036
2;1948;51.5;45
3;1948;70.90000153;75
4;1948;64.59999847;93.00000429
5;1948;84.09999847;113.9999986
6;1948;31;144.0000057
7;1948;42.20000076;165
8;1948;36;147.0000029
9;1948;41.70000076;105
10;1948;31.5;68.99999857
11;1948;0.800000012;39.00000215
12;1948;58.60000229;24.00000036
1;1949;13.80000019;24.00000036
2;1949;13.69999981;45
3;1949;59;63.00000429
4;1949;22.20000076;102.0000029
5;1949;122.7000046;111.0000014
6;1949;43;150
7;1949;39.5;186.0000086
8;1949;58.29999924;156.0000086
9;1949;116;102.0000029
10;1949;15.90000057;66.00000143
11;1949;75.70000458;33.00000072
